item1,item2,count
3,85,31.0
3,86,249.0
3,87,48.0
3,88,321.0
3,89,600.0
3,90,178.0
3,91,280.0
3,92,493.0
3,93,762.0
3,94,630.0
3,95,1290.0
3,96,385.0
3,97,204.0
3,98,408.0
3,99,18.0
3,100,408.0
3,101,1662.0
3,102,434.0
3,103,1014.0
3,104,886.0
3,105,745.0
3,106,896.0
3,107,167.0
3,108,644.0
3,109,325.0
3,110,90.0
3,111,501.0
3,112,805.0
3,113,149.0
3,114,357.0
3,115,246.0
3,116,921.0
3,117,792.0
3,118,2.0
3,119,856.0
3,120,481.0
3,121,132.0
3,122,862.0
3,123,762.0
3,124,386.0
3,125,1029.0
3,126,1115.0
3,127,518.0
3,128,124.0
3,129,260.0
3,130,1173.0
3,131,243.0
3,132,69.0
3,137,23.0
3,138,3.0
3,139,10.0
3,140,1.0
3,142,1.0
3,150,11.0
3,152,4.0
3,156,38.0
3,157,1.0
3,158,2.0
3,159,1.0
3,161,3.0
3,162,1.0
3,165,260.0
3,166,106.0
3,168,1.0
3,171,5.0
3,174,857.0
3,175,3.0
3,177,22.0
3,178,52.0
3,179,20.0
3,180,8.0
3,181,5.0
3,182,45.0
3,183,995.0
3,184,1359.0
3,185,425.0
3,186,553.0
3,187,536.0
3,188,506.0
3,189,184.0
3,190,202.0
3,191,219.0
3,192,16.0
3,194,6.0
3,195,57.0
3,196,84.0
3,197,74.0
3,198,54.0
3,199,34.0
3,201,17.0
3,206,3.0
3,208,73.0
3,212,715.0
3,213,969.0
3,214,441.0
3,215,13.0
3,216,3.0
3,217,1.0
3,218,950.0
3,241,4.0
3,247,21.0
3,248,26.0
3,250,1.0
3,254,1.0
3,265,18.0
3,266,5.0
3,268,31.0
3,269,25.0
3,272,12.0
3,274,70.0
3,279,11.0
3,280,17.0
3,281,1.0
3,283,7.0
3,288,24.0
3,291,17.0
3,298,3.0
3,306,99.0
3,307,30.0
3,308,110.0
3,309,23.0
3,311,1.0
3,314,25.0
3,315,31.0
3,316,9.0
3,318,1.0
3,321,5.0
3,324,11.0
3,326,48.0
3,327,14.0
3,328,14.0
3,329,1.0
3,330,93.0
3,331,4.0
3,334,325.0
3,338,77.0
3,342,10.0
3,352,5.0
3,353,103.0
3,356,1.0
3,365,1.0
